"Date","Mass","Age"
"19/05/1979",140,1
"18/05/1986",138,4
"15/05/1984",136,3
"15/05/1978",135,3
"14/05/1985",134,4
"13/05/1969",134,2
"13/05/1970",134,3
"13/05/1983",134,2
"13/05/1975",133,1
"13/05/1977",133,2
"11/05/1976",133,3
"12/05/1982",133,2
"12/05/1991",133,4
"11/05/1996",132,4
"11/05/1971",132,3
"11/05/1994",132,4
"10/05/1967",131,3
"10/05/1974",131,3
"10/05/1973",130,1
"9/05/1989",130,1
"9/05/1987",129,1
"8/05/1966",129,2
"8/05/1981",129,2
"7/05/1988",129,4
"6/05/1972",128,3
"7/05/2006",128,4
"6/05/1968",127,1
"6/05/1980",127,3
"7/05/1993",127,3
"7/05/1998",127,2
"7/05/2001",127,3
"6/05/1990",126,4
"5/05/2005",126,4
"4/05/2008",126,2
"5/05/1999",125,3
"4/05/2004",125,3
"3/05/1992",125,1
"4/05/1995",125,4
"3/05/2012",125,2
"3/05/2000",124,3
"3/05/2010",124,4
"2/05/2003",122,3
"1/05/2009",121,2
"30/04/2007",121,2
"30/04/2002",120,4
"29/04/1997",120,2
"26/04/2011",117,1
