"Date","Rain","Temp"
"1/01/1978",0.57,7
"2/01/1978",5.36,7.2
"3/01/1978",3.72,5
"4/01/1978",1.16,2.8
"5/01/1978",0.06,3.4
"6/01/1978",0.01,6.1
"7/01/1978",0.01,4.3
"8/01/1978",1.42,4.5
"9/01/1978",2.48,5.4
"10/01/1978",12.74,3.8
"11/01/1978",7.82,3
"12/01/1978",0.51,0.1
"13/01/1978",0.13,1.8
"14/01/1978",0.07,3.2
"15/01/1978",0.48,4
"16/01/1978",5.36,2.4
"17/01/1978",0.59,1.8
"18/01/1978",6.38,-1.7
"19/01/1978",3.1,0
"20/01/1978",1.06,2.1
"21/01/1978",6.09,2.8
"22/01/1978",3.02,3.1
"23/01/1978",11.45,4.7
"24/01/1978",0.29,5.6
"25/01/1978",3.92,4.6
"26/01/1978",3.01,2.7
"27/01/1978",14.19,3.8
"28/01/1978",7.95,3.7
"29/01/1978",3.55,3.3
"30/01/1978",1.69,2.9
"31/01/1978",4.92,1
"1/02/1978",8.88,4.6
"2/02/1978",1.68,4.9
"3/02/1978",6.13,2.3
"4/02/1978",8.67,3.8
"5/02/1978",2.41,5.5
"6/02/1978",1.32,5.1
"7/02/1978",0.4,3.4
"8/02/1978",0.89,1.5
"9/02/1978",0.77,-1
"10/02/1978",0.65,-1.7
"11/02/1978",2.02,-3.3
"12/02/1978",2.13,-2.3
"13/02/1978",1.11,-0.2
"14/02/1978",0.35,0.1
"15/02/1978",3.53,0
"16/02/1978",2.94,0.9
"17/02/1978",0.12,0.8
"18/02/1978",4.89,-1.5
"19/02/1978",2.44,-0.3
"20/02/1978",2.01,-0.2
"21/02/1978",2.77,1.7
"22/02/1978",5.54,4
"23/02/1978",3.53,8
"24/02/1978",3.87,8.8
"25/02/1978",7.15,8.8
"26/02/1978",2.99,8
"27/02/1978",2.63,8.5
"28/02/1978",4.34,7.5
"1/03/1978",2.13,8.9
"2/03/1978",5.2,6.4
"3/03/1978",0.63,7.7
"4/03/1978",0,5.7
"5/03/1978",0,3.5
"6/03/1978",0.05,4.6
"7/03/1978",1.65,6.2
"8/03/1978",0.04,8.5
"9/03/1978",0.89,5.5
"10/03/1978",0.18,9.6
"11/03/1978",1.35,10.5
"12/03/1978",1.95,8.7
"13/03/1978",5.8,6.5
"14/03/1978",4.94,8.5
"15/03/1978",6.89,7.6
"16/03/1978",2.76,3.3
"17/03/1978",0.17,3.1
"18/03/1978",0.38,3.6
"19/03/1978",6.65,6.3
"20/03/1978",7.05,5.9
"21/03/1978",1.15,4.8
"22/03/1978",5.99,7.2
"23/03/1978",2.03,5.2
"24/03/1978",1.03,6.2
"25/03/1978",4.56,8.3
"26/03/1978",3.67,6.4
"27/03/1978",3.29,8.8
