NestID	Cohort	Helpers	Size	Date
1	2008	2	0.141636871	8/11/2008
1	2008	2	0.164827594	8/11/2008
1	2008	2	1.21985751	8/11/2008
2	2008	0	-1.135606601	16/11/2008
3	2008	0	-0.170306493	23/12/2008
3	2008	0	0.886057097	23/12/2008
4	2008	0	0.006452372	20/11/2008
4	2008	0	-0.089817328	20/11/2008
5	2008	0	-0.186087027	21/11/2008
5	2008	0	-0.140096095	21/11/2008
6	2008	0	-1.091022207	21/01/2009
7	2008	0	1.520103441	3/11/2008
7	2008	0	1.443087681	3/11/2008
7	2008	0	2.005388725	3/11/2008
8	2008	0	0.538152502	19/12/2008
8	2008	0	0.638358986	19/12/2008
9	2008	0	0.237499651	5/12/2008
9	2008	0	0.641832392	5/12/2008
9	2008	0	0.233562867	5/12/2008
10	2008	0	-0.985511865	3/01/2009
10	2008	0	-0.692765981	3/01/2009
11	2008	3	1.724396734	21/12/2008
11	2008	3	2.128729473	21/12/2008
12	2008	2	0.877223373	14/12/2008
12	2008	2	0.877223373	14/12/2008
13	2008	0	-0.632401053	25/12/2008
13	2008	0	-0.285830133	25/12/2008
14	2008	0	-0.908496105	8/11/2008
14	2008	0	-1.135606601	8/11/2008
14	2008	0	-1.15486054	8/11/2008
15	2008	2	0.514562644	9/11/2008
15	2008	2	0.961340047	9/11/2008
15	2008	2	1.015165084	9/11/2008
16	2008	0	-1.807354771	23/11/2008
16	2008	0	-0.729134133	23/11/2008
16	2008	0	-0.359372487	23/11/2008
17	2008	0	-0.085473625	2/01/2009
17	2008	0	0.045367171	2/01/2009
18	2008	1	-1.098432397	8/11/2008
18	2008	1	-0.655591777	8/11/2008
19	2008	1	-1.233209976	23/12/2008
19	2008	1	-1.059924516	23/12/2008
19	2008	1	-0.651654993	23/12/2008
20	2008	0	0.576660382	8/11/2008
20	2008	0	-0.305084073	8/11/2008
21	2008	1	0.121976012	20/12/2008
22	2008	1	-1.110276147	20/12/2008
22	2008	1	-0.093754114	20/12/2008
22	2008	1	-0.224594908	20/12/2008
23	2008	0	-0.012801567	16/12/2008
23	2008	0	0.449292992	16/12/2008
24	2008	0	0.172310648	2/01/2009
24	2008	0	0.29566839	2/01/2009
25	2008	1	-0.494150068	21/12/2008
25	2008	1	0.006452372	21/12/2008
26	2008	0	-2.188089868	23/12/2008
26	2008	0	-1.957042588	23/12/2008
27	2008	3	0.291788066	25/11/2008
27	2008	3	0.384120983	25/11/2008
27	2008	3	1.004183846	25/11/2008
28	2008	2	-0.249925361	20/11/2008
28	2008	2	0.173661318	20/11/2008
28	2008	2	0.439279694	20/11/2008
29	2008	1	-1.287035012	25/11/2008
29	2008	1	-1.079178456	28/11/2008
29	2008	1	1.235231125	25/11/2008
30	2008	1	0.560879847	9/12/2008
30	2008	1	0.676403487	9/12/2008
30	2008	1	-1.360577367	9/12/2008
31	2008	0	0.714911366	3/01/2009
32	2008	1	1.388799266	30/12/2008
32	2008	1	2.293734446	30/12/2008
33	2008	0	-0.444197571	22/01/2009
33	2008	0	-0.213150292	22/01/2009
34	2008	0	-1.075705052	20/12/2008
34	2008	0	-0.898482807	22/12/2008
35	2008	1	0.657149547	16/12/2008
35	2008	1	0.449292992	16/12/2008
36	2008	1	-0.363309274	18/12/2008
36	2008	1	0.218245712	18/12/2008
37	2008	0	-0.874885165	9/01/2009
37	2008	0	0.434382753	9/01/2009
38	2008	1	0.456800823	15/11/2008
38	2008	1	0.668594164	15/11/2008
38	2008	1	0.826562468	15/11/2008
39	2008	1	1.071039989	29/11/2008
39	2008	1	1.975975168	29/11/2008
39	2008	1	1.244325449	29/11/2008
40	2008	0	-2.523223955	23/12/2008
40	2008	0	-2.307493831	23/12/2008
41	2008	1	-0.555848673	12/12/2008
41	2008	1	-0.205340967	12/12/2008
41	2008	1	-0.474896127	12/12/2008
42	2008	1	0.554803334	25/12/2008
42	2008	1	0.997643954	25/12/2008
43	2008	2	-0.624583945	18/12/2008
43	2008	2	-0.590012849	18/12/2008
43	2008	2	-1.105932446	18/12/2008
44	2008	1	0.62298537	19/12/2008
44	2008	1	0.16089081	19/12/2008
44	2008	1	0.280351235	19/12/2008
45	2008	0	-0.520814197	28/12/2008
46	2008	0	-0.074500173	16/01/2009
46	2008	0	-0.128325208	16/01/2009
46	2008	0	-0.051309448	16/01/2009
47	2008	0	-1.062527625	16/11/2008
