Date	Rain	Temperature	MaxTemp	MinTemp	Exposure
1/01/2006	0	14.65	23.1	6.2	35.8
2/01/2006	0	18.15	28	8.3	34.1
3/01/2006	2.6	17.20	22	12.4	10.9
4/01/2006	2	19.95	26.5	13.4	28.3
5/01/2006	0	20.30	26	14.6	19.8
6/01/2006	0	23.10	31.2	15	32.9
7/01/2006	0	23.75	31	16.5	32.3
8/01/2006	1	18.25	21.5	15	22.4
9/01/2006	0.6	15.45	21.3	9.6	29.8
10/01/2006	0	16.15	23.4	8.9	35.5
11/01/2006	0	18.30	27.5	9.1	34.9
12/01/2006	0	19.75	26.5	13	19.1
13/01/2006	0.2	17.05	20	14.1	9.4
14/01/2006	0	19.00	23.3	14.7	16.7
15/01/2006	0	21.00	30	12	32.7
16/01/2006	0	20.45	25.2	15.7	25.4
17/01/2006	0	20.90	25.6	16.2	18.5
18/01/2006	0.4	19.30	21.5	17.1	9.2
19/01/2006	0.4	18.75	26	11.5	29
20/01/2006	0	20.50	26.5	14.5	26.3
21/01/2006	0	15.65	21	10.3	22.4
22/01/2006	0	15.10	22	8.2	32.9
23/01/2006	0	19.10	28.7	9.5	32.7
24/01/2006	0	21.55	29.5	13.6	13.2
25/01/2006	24	18.00	19	17	1.8
26/01/2006	5	15.25	21.5	9	30.9
27/01/2006	0	14.75	22	7.5	27.5
28/01/2006	0	16.00	20.5	11.5	18.1
29/01/2006	0	14.25	20.5	8	26.6
30/01/2006	0.4	14.00	20	8	15.9
31/01/2006	0	14.00	20.5	7.5	23
1/02/2006	0.8	16.55	22	11.1	22.8
2/02/2006	0	15.75	23.5	8	30.9
3/02/2006	0	21.00	27.5	14.5	32
4/02/2006	0	22.55	31.6	13.5	31.6
5/02/2006	0	19.20	24.4	14	28.8
6/02/2006	0	22.55	33.5	11.6	31.4
7/02/2006	1.8	20.10	23.1	17.1	20.4
8/02/2006	0.6	15.40	18.7	12.1	17.6
9/02/2006	0	17.60	26.6	8.6	31.6
10/02/2006	0	18.55	27	10.1	31.4
11/02/2006	0	18.80	26.6	11	30
12/02/2006	0	19.60	26.4	12.8	29.2
13/02/2006	0	22.85	33.5	12.2	29.6
14/02/2006	0	25.45	32	18.9	28.3
15/02/2006	0.2	18.25	20	16.5	8.2
16/02/2006	1.9	18.50	24	13	15
17/02/2006	0	17.00	21	13	19.6
18/02/2006	0	16.00	21.5	10.5	24.9
19/02/2006	0	16.80	24.6	9	29.4
20/02/2006	0	20.55	32	9.1	28.9
21/02/2006	0	27.00	37.5	16.5	22.3
22/02/2006	0	25.40	30.1	20.7	20.5
23/02/2006	0	17.95	22	13.9	19.4
24/02/2006	0.1	15.00	21.5	8.5	22.6
25/02/2006	0	15.80	23.4	8.2	27.4
26/02/2006	0	20.50	31	10	27.2
27/02/2006	0	23.75	32.5	15	22.8
28/02/2006	0	25.60	35.2	16	22.6
