"","Offspring","Date","Order","BirdID","Cohort"
"1",1,"12/09/2009",1,268,2009
"2",1,"12/09/2009",1,268,2009
"3",0,"12/09/2009",1,565,2009
"4",0,"12/09/2009",1,565,2009
"5",0,"19/09/2009",1,53,2009
"6",0,"19/09/2009",1,53,2009
"7",0,"22/09/2009",1,178,2009
"8",0,"22/09/2009",1,178,2009
"9",1,"22/09/2009",1,252,2009
"10",1,"22/09/2009",1,252,2009
"11",0,"23/09/2009",1,99,2009
"12",0,"23/09/2009",1,99,2009
"13",1,"23/09/2009",1,444,2009
"14",1,"23/09/2009",1,444,2009
"15",3,"23/09/2009",1,657,2009
"16",3,"23/09/2009",1,657,2009
"17",3,"25/09/2009",1,525,2009
"18",3,"25/09/2009",1,525,2009
"19",0,"26/09/2009",1,64,2009
"20",0,"26/09/2009",1,64,2009
"21",0,"26/09/2009",1,148,2009
"22",0,"26/09/2009",1,148,2009
"23",1,"26/09/2009",2,167,2009
"24",1,"26/09/2009",2,167,2009
"25",0,"26/09/2009",1,239,2009
"26",0,"26/09/2009",1,239,2009
"27",1,"26/09/2009",1,433,2009
"28",1,"26/09/2009",1,433,2009
"29",0,"27/09/2009",1,71,2009
"30",0,"27/09/2009",1,71,2009
"31",0,"27/09/2009",1,83,2009
"32",0,"27/09/2009",1,83,2009
"33",0,"27/09/2009",1,556,2009
"34",0,"27/09/2009",1,556,2009
"35",3,"28/09/2009",1,10,2009
"36",3,"28/09/2009",1,10,2009
"37",0,"28/09/2009",1,50,2009
"38",0,"28/09/2009",1,50,2009
"39",1,"28/09/2009",1,79,2009
"40",1,"28/09/2009",1,79,2009
"41",0,"28/09/2009",1,136,2009
"42",0,"28/09/2009",1,136,2009
"43",1,"30/09/2009",1,21,2009
"44",1,"30/09/2009",1,21,2009
"45",1,"1/10/2009",1,215,2009
"46",1,"1/10/2009",1,215,2009
"47",0,"1/10/2009",1,408,2009
"48",0,"1/10/2009",1,408,2009
"49",1,"2/10/2009",1,35,2009
"50",1,"2/10/2009",1,35,2009
"51",3,"2/10/2009",1,47,2009
"52",3,"2/10/2009",1,47,2009
"53",0,"2/10/2009",1,429,2009
"54",0,"2/10/2009",1,429,2009
"55",0,"4/10/2009",1,190,2009
"56",0,"4/10/2009",1,190,2009
"57",3,"4/10/2009",1,405,2009
"58",3,"4/10/2009",1,405,2009
"59",1,"4/10/2009",1,472,2009
"60",1,"4/10/2009",1,472,2009
"61",4,"5/10/2009",1,180,2009
"62",4,"5/10/2009",1,180,2009
"63",1,"5/10/2009",1,350,2009
"64",1,"5/10/2009",1,350,2009
"65",3,"6/10/2009",2,10,2009
"66",3,"6/10/2009",2,10,2009
"67",0,"6/10/2009",1,12,2009
"68",0,"6/10/2009",1,12,2009
"69",0,"6/10/2009",1,199,2009
"70",0,"6/10/2009",1,199,2009
"71",0,"6/10/2009",1,307,2009
"72",0,"6/10/2009",1,307,2009
"73",1,"6/10/2009",1,319,2009
"74",1,"6/10/2009",1,319,2009
"75",0,"7/10/2009",1,20,2009
"76",0,"7/10/2009",1,20,2009
"77",1,"7/10/2009",1,631,2009
"78",1,"7/10/2009",1,631,2009
"79",1,"8/10/2009",1,621,2009
"80",1,"8/10/2009",1,621,2009
"81",0,"9/10/2009",2,657,2009
"82",0,"9/10/2009",2,657,2009
"83",1,"10/10/2009",2,444,2009
"84",1,"10/10/2009",2,444,2009
"85",0,"10/10/2009",1,469,2009
"86",0,"10/10/2009",1,469,2009
"87",1,"11/10/2009",1,124,2009
"88",1,"11/10/2009",1,124,2009
"89",1,"11/10/2009",1,167,2009
"90",1,"11/10/2009",1,167,2009
"91",0,"11/10/2009",2,178,2009
"92",0,"11/10/2009",2,178,2009
"93",0,"11/10/2009",2,239,2009
"94",0,"11/10/2009",2,239,2009
"95",1,"11/10/2009",1,394,2009
"96",1,"11/10/2009",1,394,2009
"97",3,"12/10/2009",1,19,2009
"98",3,"12/10/2009",1,19,2009
"99",2,"12/10/2009",1,234,2009
"100",2,"12/10/2009",1,234,2009
"101",3,"13/10/2009",3,50,2009
"102",3,"13/10/2009",3,50,2009
"103",0,"13/10/2009",2,71,2009
"104",0,"13/10/2009",2,71,2009
"105",1,"16/10/2009",1,308,2009
"106",1,"16/10/2009",1,308,2009
"107",0,"16/10/2009",2,433,2009
"108",0,"16/10/2009",2,433,2009
"109",4,"16/10/2009",1,470,2009
"110",4,"16/10/2009",1,470,2009
"111",0,"16/10/2009",1,606,2009
"112",0,"16/10/2009",1,606,2009
"113",0,"16/10/2009",1,693,2009
"114",0,"16/10/2009",1,693,2009
"115",0,"19/10/2009",1,603,2009
"116",0,"19/10/2009",1,603,2009
"117",0,"20/10/2009",1,645,2009
"118",0,"20/10/2009",1,645,2009
"119",2,"22/10/2009",2,35,2009
"120",2,"22/10/2009",2,35,2009
"121",0,"22/10/2009",2,180,2009
"122",0,"22/10/2009",2,180,2009
"123",3,"23/10/2009",3,10,2009
"124",3,"23/10/2009",3,10,2009
"125",0,"23/10/2009",2,12,2009
"126",0,"23/10/2009",2,12,2009
"127",3,"23/10/2009",2,21,2009
"128",3,"23/10/2009",2,21,2009
"129",1,"23/10/2009",1,77,2009
"130",1,"23/10/2009",1,77,2009
"131",1,"23/10/2009",2,190,2009
"132",1,"23/10/2009",2,190,2009
"133",0,"23/10/2009",2,408,2009
"134",0,"23/10/2009",2,408,2009
"135",4,"23/10/2009",2,429,2009
"136",4,"23/10/2009",2,429,2009
"137",1,"23/10/2009",1,479,2009
"138",1,"23/10/2009",1,479,2009
"139",1,"24/10/2009",3,35,2009
"140",1,"24/10/2009",3,35,2009
"141",0,"24/10/2009",2,148,2009
"142",0,"24/10/2009",2,148,2009
"143",3,"24/10/2009",2,215,2009
"144",3,"24/10/2009",2,215,2009
"145",0,"24/10/2009",1,316,2009
"146",0,"24/10/2009",1,316,2009
"147",0,"24/10/2009",2,565,2009
"148",0,"24/10/2009",2,565,2009
