"expression","min","median","itr/sec","mem_alloc","gc/sec","n_itr","n_gc","total_time","window_size"
old,470.06ms,474.9ms,2.10568598185151,  46.2MB,0,2,0,949.81ms,25
new,182.42ms,182.6ms,5.47633756411105,  14.9MB,2.73816878205553,2,1,365.21ms,25
old,  1.16s,  1.16s,0.865457386369907,  87.8MB,0.865457386369907,1,1,  1.16s,50
new,612.66ms,612.66ms,1.63222972345486,  28.3MB,1.63222972345486,1,1,612.66ms,50
old,  2.3s,  2.3s,0.43472358892067, 184.5MB,1.30417076676201,1,3,  2.3s,75
new,  1.58s,  1.58s,0.63435191969505,  50.1MB,0.63435191969505,1,1,  1.58s,75
old,  4.04s,  4.04s,0.247756220134387, 355.8MB,1.73429354094071,1,7,  4.04s,100
new,  2.37s,  2.37s,0.421552032290269,  80.5MB,1.68620812916108,1,4,  2.37s,100
old,  6.07s,  6.07s,0.164803529719889, 621.6MB,2.14244588635856,1,13,  6.07s,125
new,  3.57s,  3.57s,0.279936157088335, 119.3MB,1.95955309961835,1,7,  3.57s,125
old,  8.05s,  8.05s,0.124141732030022,1001.4MB,1.1172755882702,1,9,  8.05s,150
new,  5.21s,  5.21s,0.191768246754503, 166.6MB,1.15060948052702,1,6,  5.21s,150
